分群,小時,平均可借變化30比例,平均活動強度30,平均可借比例
火車站周邊－通勤到達型－高滿車風險,6,0.1289267654783665,0.1297921694898922,0.21047751440146376
火車站周邊－通勤到達型－高滿車風險,7,-0.0009706952574725314,0.0018886631114410693,0.26331284998989785
火車站周邊－通勤到達型－高滿車風險,8,-0.0008816434730586347,0.0024131253286812423,0.2615950598170613
火車站周邊－通勤到達型－高滿車風險,9,-0.0011713895862606703,0.004028303650862366,0.2592260628794505
火車站周邊－通勤到達型－高滿車風險,10,-0.0012371126015928839,0.00472039400816888,0.25705406630418354
火車站周邊－通勤到達型－高滿車風險,11,-0.0015763832034038547,0.00672636722910083,0.2540035356231632
火車站周邊－通勤到達型－高滿車風險,12,-0.00016324072993653173,0.004782471595679422,0.25273917149664804
火車站周邊－通勤到達型－高滿車風險,13,0.0005377895486940532,0.005874880293971885,0.252488053436167
火車站周邊－通勤到達型－高滿車風險,14,-0.0004052752658940047,0.007093953308273923,0.2513708187986084
火車站周邊－通勤到達型－高滿車風險,15,-0.00021844209082920864,0.006498167097714336,0.25074601606598973
火車站周邊－通勤到達型－高滿車風險,16,0.000985251423844377,0.006976070935821533,0.25264240963632395
火車站周邊－通勤到達型－高滿車風險,17,0.0010022975329479372,0.005814826814044682,0.2551443670139592
火車站周邊－通勤到達型－高滿車風險,18,-0.1267469934055319,0.14277417024034902,0.10621315983959716
火車站周邊－通勤到達型－高滿車風險,19,6.844626967830248e-05,0.0012206251425963953,0.0033178765590022373
火車站周邊－通勤到達型－高滿車風險,20,7.496251874062965e-05,0.0009495252373813093,0.0033551860142841915
火車站周邊－通勤到達型－高滿車風險,21,0.00044686224985428404,0.0006281976555922544,0.004000106598443663
火車站周邊－通勤到達型－高滿車風險,22,0.0003402498884426596,0.0007307005800981705,0.004671676793518816
火車站周邊－通勤到達型－高滿車風險,23,0.00037963761863675586,0.0005061834915156744,0.005412535976974738
醫院周邊－雙尖峰高流動型,0,0.01763795503972687,0.06183580982138163,0.4129681992615178
醫院周邊－雙尖峰高流動型,1,0.01579387763085416,0.04249208830000424,0.44464816856039946
醫院周邊－雙尖峰高流動型,2,0.0052355802563436825,0.016835646307947354,0.4608805185375691
醫院周邊－雙尖峰高流動型,3,0.002640549991102885,0.010858611143176116,0.4670788194888735
醫院周邊－雙尖峰高流動型,4,0.002547423441294843,0.01401686887008062,0.47173535832045765
醫院周邊－雙尖峰高流動型,5,0.0029528763389396785,0.02738486357873572,0.4776922647265708
醫院周邊－雙尖峰高流動型,6,-0.00935763360030529,0.07530663806736204,0.46808287628267675
醫院周邊－雙尖峰高流動型,7,-0.033203775146322285,0.14438211343518084,0.41200471996901794
醫院周邊－雙尖峰高流動型,8,-0.02983277559418855,0.13665221054904095,0.3482782153629015
醫院周邊－雙尖峰高流動型,9,-0.01123514282034065,0.09742854025394763,0.3168510535808795
醫院周邊－雙尖峰高流動型,10,-0.003269324030037238,0.07472605547046644,0.30872606300065647
醫院周邊－雙尖峰高流動型,11,-0.0005763373399450687,0.06853376428087425,0.3063001281354562
醫院周邊－雙尖峰高流動型,12,-0.0003492540192681443,0.062118536539228185,0.306588886544002
醫院周邊－雙尖峰高流動型,13,0.0010259914737012882,0.06292616386261093,0.30898177183237546
醫院周邊－雙尖峰高流動型,14,-0.0010705727056900256,0.05767446728437505,0.3078230236447931
