城市,行政區,場站名稱,總車柱數中位數,經度,緯度,場站類型原文,有效觀測筆數,資料涵蓋日數,資料起始時間,資料結束時間,平均可借比例,可借比例標準差,平均可還位比例,可還位比例標準差,平均不可用柱比例,平均活動強度30,活動強度30標準差,平均活動強度60,30分鐘連續資料率,60分鐘連續資料率,早高峰淨變化30比例,日間淨變化30比例,晚高峰淨變化30比例,夜間淨變化30比例,早高峰活動強度,日間活動強度,晚高峰活動強度,夜間活動強度,缺車率5,滿車率5,低車率10,低空位率10,早高峰缺車率,晚高峰缺車率,早高峰滿車率,晚高峰滿車率,平日活動強度,假日活動強度,國定假日活動強度,平日平均可借比例,假日平均可借比例,是否捷運站,是否火車站,是否公車站,是否學校,是否公園,是否商圈,是否醫院,平均每日可借比例範圍,假日相對平日活動差,假日相對平日可借比例差,分群
新北市,板橋區,永翠藝文街口(柏克萊公園社區),45.0,121.45065999998391,25.01811000000199,"學校,公園,商圈",5757,120,2026-01-01 00:00:00,2026-04-30 23:30:00,0.310234883137438,0.20628847155279947,0.6864802269700602,0.20792729118728961,0.0032848898924980113,0.019875007734670606,0.050878236922336735,0.034989987256508454,0.9357304151467778,0.9541427826993225,-0.018486590038314137,-0.00849128127369218,0.0113131313131313,0.013498312710911108,0.03194444444444436,0.024462977002779846,0.02373737373737367,0.019747531558555135,0.1179433732846969,0.0,0.16866423484453708,0.0,0.1251303441084463,0.22604166666666667,0.0,0.0,0.022261787009562127,0.018327769829915706,0.010375157063363831,0.3116887805758636,0.307633505598622,0,0,0,1,1,1,0,0.44,-0.003934017179646421,-0.004055274977241563,均衡流動型
新北市,板橋區,永豐公園活動中心,32.0,121.47684999998751,25.021129999998184,"公車站,學校,公園,醫院",5757,120,2026-01-01 00:00:00,2026-04-30 23:30:00,0.3528476202883446,0.26939765711883734,0.6391295379537953,0.2713798210405368,0.008022841757859996,0.05708186374605532,0.09704386435239269,0.0918214090660841,0.9357304151467778,0.9541427826993225,-0.06256734913793104,-0.006088893100833965,0.018288352272727272,0.036698537682789655,0.07145743534482758,0.03921057619408643,0.0852627840909091,0.09392575928008999,0.1816918533958659,0.004342539517109605,0.2838283828382838,0.010074691679694285,0.2909280500521376,0.38333333333333336,0.0031282586027111575,0.0,0.06002410979228487,0.05666577253218884,0.0420032310177706,0.33445031139994585,0.38576489825581395,0,0,1,1,1,0,1,0.74765625,-0.003358337260096031,0.051314586855868094,醫院周邊－雙尖峰高流動型
新北市,板橋區,江翠國中,36.0,121.46848000000462,25.02857999999985,"捷運站,公車站,學校,公園",5757,120,2026-01-01 00:00:00,2026-04-30 23:30:00,0.30500550055005843,0.26581897586402425,0.6842394765792302,0.2667986002273432,0.010755022870708378,0.04412037897083289,0.0959219253004955,0.07212502278111672,0.9350356088240404,0.9531005732152162,0.042893917624521,-0.003395764785286422,-0.035782080485952925,-0.003593300837395328,0.07426364942528753,0.04292162321775111,0.07235509997469033,0.032964629421322535,0.1278443633837068,0.027792252909501478,0.2706270627062706,0.04342539517109606,0.12200208550573514,0.43020833333333336,0.14285714285714285,0.013541666666666667,0.04841717831913811,0.04093148942934382,0.02795727876503325,0.31218220657700885,0.2921646210163658,1,0,1,1,1,0,0,0.6833333333333331,-0.007485688889794291,-0.020017585560643036,均衡流動型
新北市,板橋區,江翠國中活動中心地下停車場,19.0,121.46623000001117,25.02838000000256,"捷運站,公車站,學校",5757,120,2026-01-01 00:00:00,2026-04-30 23:30:00,0.3602387939624931,0.27784259708959663,0.6280957735662813,0.2796794155334648,0.011665432471225187,0.05749305153160887,0.10748735071456307,0.09250223749169603,0.930866770887615,0.9499739447628973,-0.04656750572082395,-0.0014865407794294949,0.028086178959371075,0.01786032160446208,0.07894736842105299,0.05676978706307806,0.07645682050051048,0.07695959176407809,0.08737189508424527,0.013201320132013201,0.22268542643738057,0.028487059232239015,0.3023983315954119,0.24479166666666666,0.0010427528675703858,0.028125,0.059155505250582566,0.062726860254084,0.036731570444690095,0.3617227471603424,0.3575836393308838,1,0,1,1,0,0,0,0.8039473684210524,0.0035713550035014335,-0.004139107829458644,醫院周邊－雙尖峰高流動型
新北市,板橋區,江翠國小,43.0,121.47430999999631,25.03235999999941,"捷運站,公車站,學校,公園,醫院",5757,120,2026-01-01 00:00:00,2026-04-30 23:30:00,0.26627644404586526,0.24964628079166354,0.7254505132275608,0.25156157413064223,0.008273042726549206,0.036794004515607326,0.0818345219559953,0.06268866506631955,0.9357304151467778,0.9541427826993225,0.02646351242983162,-0.0004584163478322235,-0.03144820295983077,0.005755094566667538,0.049619085805934035,0.0343812260874162,0.05047568710359381,0.046616265990006865,0.2245961438249088,0.024491922876498175,0.29668229980892824,0.033003300330033,0.18039624608967675,0.37395833333333334,0.05005213764337852,0.036458333333333336,0.04261955696639224,0.029560501713411,0.02141488522372922,0.3200460960081574,0.170069406886604,1,0,1,1,1,0,1,0.5910852713178294,-0.01305905525298124,-0.14997668912155343,均衡流動型
新北市,板橋區,浮洲合宜住宅(合安一合宜路口),58.0,121.448629999999,24.99848999999875,"公車站,學校,公園",5757,120,2026-01-01 00:00:00,2026-04-30 23:30:00,0.26298419315615224,0.2223246451533498,0.7345360670368459,0.22276670093436463,0.0024797398070115777,0.030968551365676323,0.06578221596609904,0.05394640200380544,0.9357304151467778,0.9541427826993225,-0.027181183115338927,-0.009019372042560984,0.010011755485893425,0.009231604670105899,0.04419961355529125,0.02522809861180113,0.0348550156739813,0.03762460726891908,0.24578773666840367,0.0,0.34080250130276185,0.0008685079034219212,0.21063607924921793,0.39479166666666665,0.0,0.0,0.034012074081653486,0.0290686201963396,0.018689766586819718,0.23819994957842192,0.3073292568831877,0,0,1,1,1,0,0,0.5104885057471263,-0.004943453885313885,0.06912930730476577,均衡流動型
新北市,板橋區,浮洲合宜住宅(合安一路),34.0,121.44649999999663,24.999460000001804,"公車站,學校,公園",5757,120,2026-01-01 00:00:00,2026-04-30 23:30:00,0.28049739958515707,0.27576226381287716,0.49181559022776267,0.35201471360505815,0.22768701018708662,0.03524825560445151,0.08221105992023135,0.05862541630524368,0.9357304151467778,0.9541427826993225,-0.0361942190669372,-0.008696427775052392,0.01804812834224595,0.020082048567458495,0.06047160243407733,0.034027560986487355,0.044719251336898615,0.03655793025871786,0.3460135487232934,0.22216432169532743,0.4099357304151468,0.2311968038909154,0.4035453597497393,0.5135416666666667,0.22940563086548488,0.21666666666666667,0.040068074707628354,0.03340907178322,0.013161645918464306,0.2728612159729843,0.29416039671682687,0,0,1,1,1,0,0,0.5441176470588235,-0.006659002924408353,0.021299180743842572,均衡流動型
新北市,板橋區,浮洲合宜住宅(合宜一合宜路口),22.0,121.44601999999925,24.995360000000744,"公車站,學校,公園",5757,120,2026-01-01 00:00:00,2026-04-30 23:30:00,0.3340360351824617,0.21458991492063795,0.6623951868871109,0.2166485350376007,0.0035687779304246427,0.025774338168862942,0.07131594102827793,0.043622036750128226,0.9263505297898211,0.9478895257946848,-0.018280632411067203,-0.00534965034965037,0.012135160581650806,0.007936507936507948,0.04950592885375505,0.034370629370629624,0.028559472748195477,0.01752216037930322,0.1212437033177002,0.001389612645475074,0.19645648775403857,0.001563314226159458,0.19186652763295098,0.27291666666666664,0.006256517205422315,0.0,0.03104945520085231,0.01972431900229741,0.0109414010867969,0.3290869704354651,0.3428911205073995,0,0,1,1,1,0,0,0.4746212121212121,-0.011325136198554901,0.013804150071934418,平穩低波動型
新北市,板橋區,浮洲合宜住宅(合宜一路),57.0,121.4427600000048,24.996519999999258,"公車站,學校,公園",5757,120,2026-01-01 00:00:00,2026-04-30 23:30:00,0.38871061621397474,0.25394110313354873,0.6068767541574109,0.25625969207927335,0.004412629628613868,0.022699792393858838,0.05969088492792523,0.041750996773874526,0.9350356088240404,0.9531005732152162,-0.029057017543859646,-0.010643541275360002,0.016824521440274947,0.020622422197225394,0.04247958257713261,0.016478173413792742,0.029093234224513504,0.02701635979713076,0.09866249782873024,0.006426958485322216,0.18012853916970645,0.016327948584332116,0.12930135557872785,0.2947916666666667,0.017726798748696558,0.0,0.02409544360008781,0.023366714353838934,0.013604285349885191,0.376059971211533,0.41134570923432506,0,0,1,1,1,0,0,0.5342105263157894,-0.0007287292462488763,0.03528573802279206,均衡流動型
新北市,板橋區,浮洲合宜住宅(樂群路),48.0,121.44642000000817,24.997019999999186,"公車站,學校,公園",5757,120,2026-01-01 00:00:00,2026-04-30 23:30:00,0.3578795379537942,0.30894471449231004,0.6288938104336741,0.31780528821128945,0.013226651612529616,0.05468217846306275,0.09237672332017961,0.08966648441771378,0.9350356088240404,0.9531005732152162,-0.07794540229885057,-0.0032112123513034683,0.016182611996962804,0.05408698912635917,0.0930765086206895,0.03114717792963811,0.07479119210326497,0.08647356580427445,0.2876498176133403,0.004863644259162758,0.34896647559492794,0.013375021712697586,0.40667361835245047,0.4270833333333333,0.0031282586027111575,0.005208333333333333,0.05791988512576772,0.053081783500238476,0.040690630048465244,0.3532189277010561,0.36621850775193787,0,0,1,1,1,0,0,0.8098958333333333,-0.004838101625529244,0.012999580050881754,均衡流動型
